Dataset_id,Public_dataset_id,Data_path,Data_type,Notes_download,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,N_cells,Protocol,Methodology,Model,Protocol details,JUST KEEP FOR SEARCH (NO NEED),Notes,
AD003005,GSE140510,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003005.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,7 months,16810,,,WT_5XFAD mice,,,,
AD003006,GSE140510,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003006.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,7 months,19188,,,Trem2_KO_5XFAD mice,,,,
AD003007,GSE140399,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003007.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,15 months,6675,,,Trem2_KO mice,,,,
AD003008,GSE140399,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003008.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,15 months,4742,,,s,,,,
AD003009,GSE140399,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD003009.h5ad,ssREAD,,"28602351,31932797",AD,Disease,,Mouse,Cortex,,Male,NA,15 months,4708,,,Trem2_KO_5XFAD,,,,
AD004001,GSE147495,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD004001.h5ad,ssREAD,,32320664,AD,Healthy,,Mouse,Other/combined,,Female,NA,10-12 months,8153,,,B6C3,,,,
AD004002,GSE147495,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD004002.h5ad,ssREAD,,32320664,AD,Disease,,Mouse,Other/combined,,Female,NA,10-12 months,6243,,,APP/PS1 transgenic mice,,,,
AD004003,GSE147495,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD004003.h5ad,ssREAD,,32320664,AD,Disease,,Mouse,Other/combined,,Female,NA,10-12 months,7942,,,APP/PS1 IL33 mice,,,,
AD004004,GSE147495,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD004004.h5ad,ssREAD,,32320664,AD,Disease,,Mouse,Other/combined,,Male,NA,10-12 months,3314,,,Veh_IL33 mice,,,,
AD004005,GSE147495,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD004005.h5ad,ssREAD,,32320664,AD,Disease,,Mouse,Other/combined,,Male,NA,10-12 months,1697,,,DB2313_IL33 mice,,,,
AD005001,GSE98969,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD005001.h5ad,ssREAD,,28602351,AD,Healthy,,Mouse,Whole brain,,Male,NA,6 months,740,,,C57BL/6,,,,
AD005002,GSE98969,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD005002.h5ad,ssREAD,,28602351,AD,Disease,,Mouse,Whole brain,,Male,NA,6 months,2304,,,5XFAD,,,,
AD006001,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD006001.h5ad,ssREAD,,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,7 months,1572,,,C57BL/6,,,,
AD006002,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD006002.h5ad,ssREAD,,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,10 months,1148,,,C57BL/6,,,,
AD006003,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD006003.h5ad,ssREAD,,32341542,AD,Disease,,Mouse,Hippocampus,,Male,NA,7 months,1146,,,5XFAD,,,,
AD006004,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD006004.h5ad,ssREAD,,32341542,AD,Disease,,Mouse,Hippocampus,,Male,NA,10 months,2079,,,5XFAD,,,,
AD007002,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007002.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Male,NA,6 months,432,,,C57BL/6J,,,,
AD007003,GSE130626; GSE140399,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007003.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Male,NA,12-14 months; 15 months,3764,,,C57BL/6J; B6,,,,
AD007004,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007004.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Female,NA,6 months,519,,,C57BL/6J,,,,
AD007005,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007005.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Female,NA,24 months,655,,,C57BL/6J,,,,
AD007008,GSE103334,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007008.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months",1049,,,CK,,,,
AD007009,GSE103334,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007009.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months",1150,,,CK-p25,,,,
AD007010,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007010.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,6 months,278,,,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),,,,
AD007011,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007011.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,12-14 months,755,,,Trem2 +/+ mice,,,,
AD007012,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007012.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,12-14 months,794,,,Trem2 +/- mice,,,,
AD007013,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007013.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,12-14 months,875,,,Trem2 -/- mice,,,,
AD007014,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007014.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,15 months,2538,,,Trem2_KO mice,,,,
AD007015,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007015.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,15 months,2974,,,WT_5XFAD mice,,,,
AD007016,GSE130626,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007016.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,15 months,2696,,,Trem2_KO_5XFAD mice,,,,
AD007017,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007017.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,24 months,456,,,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),,,,
AD007018,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007018.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Female,NA,6 months,563,,,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),,,,
AD007019,GSE141044,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD007019.h5ad,ssREAD,,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Female,NA,24 months,377,,,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),,,,
AD008001,GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD008001.h5ad,ssREAD,,33432193,AD,Healthy,,Human,Prefrontal cortex,,Male,0,50-91 years,33711,,,NA,,,,
AD008002,GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD008002.h5ad,ssREAD,,33432193,AD,Disease,,Human,Prefrontal cortex,,Male,2,50-91 years,27946,,,NA,,,,
AD008003,GSE147528,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD008003.h5ad,ssREAD,,33432193,AD,Disease,,Human,Prefrontal cortex,,Male,6,50-91 years,32901,,,NA,,,,
AD009001,GSE150358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD009001.h5ad,ssREAD,,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,2793,,,5XFAD-CV,,,,
AD009002,GSE150358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD009002.h5ad,ssREAD,,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,18144,,,5XFAD-R47H,,,,
AD009003,GSE150358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD009003.h5ad,ssREAD,,32579671,AD,Disease,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,5937,,,5XFAD-CV,,,,
AD009004,GSE150358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD009004.h5ad,ssREAD,,32579671,AD,Disease,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,16886,,,5XFAD-R47H,,,,
AD010001,GSE142853,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD010001.h5ad,ssREAD,,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,,Female,NA,8 months,1676,,,B6129SF2/J,,,,
AD010002,GSE142853,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD010002.h5ad,ssREAD,,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,,Female,NA,7 months,1689,,,isotype treated 3XTg-AD,,,,
AD010003,GSE142853,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD010003.h5ad,ssREAD,,32503894,AD,Disease,,Mouse,Subventricular zone and hippocampus,,Female,NA,8 months,1695,,,Triple-transgenic Alzheimer disease (AD) mouse model,,,,
AD010004,GSE142853,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD010004.h5ad,ssREAD,,32503894,AD,Disease,,Mouse,Subventricular zone and hippocampus,,Female,NA,7 months,1164,,,anti-Nk1.1 treated 3XTg-AD,,,,
AD011001,GSE129308,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD011001.h5ad,ssREAD,,35882228,AD,Healthy,,Human,Prefrontal cortex,,Male,6,57-93 years,13502,,,NA,,,,
AD011002,GSE129308,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD011002.h5ad,ssREAD,,35882228,AD,Healthy,,Human,Prefrontal cortex,,Female,6,57-93 years,25014,,,NA,,,,
AD011003,GSE129308,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD011003.h5ad,ssREAD,,35882228,AD,Disease,,Human,Prefrontal cortex,,Male,6,57-93 years,9120,,,NA,,,,
AD011004,GSE129308,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD011004.h5ad,ssREAD,,35882228,AD,Disease,,Human,Prefrontal cortex,,Female,6,57-93 years,11873,,,NA,,,,
AD012001,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012001.h5ad,ssREAD,,33192286,AD,Healthy,,Human,Superior parietal lobe,,Male,NA,72-103 years,779,,,NA,,,,
AD012002,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012002.h5ad,ssREAD,,33192286,AD,Healthy,,Human,Superior parietal lobe,,Female,NA,72-103 years,939,,,NA,,,,
AD012003,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012003.h5ad,ssREAD,,33192286,AD,Disease,,Human,Superior parietal lobe,,Male,NA,72-103 years,3127,,,NA,,,,
AD012004,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012004.h5ad,ssREAD,,33192286,AD,Disease,,Human,Superior parietal lobe,,Female,NA,72-103 years,963,,,NA,,,,
AD012005,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012005.h5ad,ssREAD,,33192286,AD,Disease,,Human,Superior parietal lobe,,Male,NA,72-103 years,1731,,,NA,,,,
AD012006,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD012006.h5ad,ssREAD,,33192286,AD,Disease,,Human,Superior parietal lobe,,Female,NA,72-103 years,8632,,,NA,,,,
AD013001,GSE157827,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD013001.h5ad,ssREAD,,32989152,AD,Healthy,,Human,Prefrontal cortex,,Male,"1,2",85.4 years,23304,,,NA,,,,
AD013002,GSE157827,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD013002.h5ad,ssREAD,,32989152,AD,Healthy,,Human,Prefrontal cortex,,Female,"1,2",85.4 years,7663,,,NA,,,,
AD013003,GSE157827,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD013003.h5ad,ssREAD,,32989152,AD,Disease,,Human,Prefrontal cortex,,Male,"""4-6""",74.6 years,28183,,,NA,,,,
AD013004,GSE157827,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD013004.h5ad,ssREAD,,32989152,AD,Disease,,Human,Prefrontal cortex,,Female,"""4-6""",74.6 years,5480,,,NA,,,,
AD014001,syn21438358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD014001.h5ad,ssREAD,,33257666,AD,Healthy,,Human,Prefrontal cortex,,Male,3,93-96 years,10283,,,NA,,,,
AD014002,syn21438358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD014002.h5ad,ssREAD,,33257666,AD,Healthy,,Human,Prefrontal cortex,,Female,3,93-96 years,4492,,,NA,,,,
AD014003,syn21438358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD014003.h5ad,ssREAD,,33257666,AD,Disease,,Human,Prefrontal cortex,,Male,"""1-3""",79-98 years,24786,,,NA,,,,
AD014004,syn21438358,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD014004.h5ad,ssREAD,,33257666,AD,Disease,,Human,Prefrontal cortex,,Female,"""1-3""",79-98 years,27291,,,NA,,,,
AD015001,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015001.h5ad,ssREAD,,33446504,AD,Healthy,,Mouse,Cortex,,Male,NA,8 months,12583,,,TREM2CV-5XFAD (IgG),,,,
AD015002,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015002.h5ad,ssREAD,,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,6194,,,TREM2CV-5XFAD (IgG),,,,
AD015003,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015003.h5ad,ssREAD,,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,13954,,,Trem2-/--5XFAD (IgG),,,,
AD015004,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015004.h5ad,ssREAD,,33446504,AD,Healthy,,Mouse,Cortex,,Male,NA,8 months,9876,,,TREM2R47H-5XFAD (IgG),,,,
AD015005,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015005.h5ad,ssREAD,,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,17232,,,TREM2R47H-5XFAD (IgG),,,,
AD015006,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015006.h5ad,ssREAD,,33446504,AD,Disease,,Mouse,Cortex,,Male,NA,8 months,31334,,,TREM2CV-5XFAD (hT2AB),,,,
AD015007,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015007.h5ad,ssREAD,,33446504,AD,Disease,,Mouse,Cortex,,Female,NA,8 months,12121,,,TREM2CV-5XFAD (hT2AB),,,,
AD015008,GSE156183,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD015008.h5ad,ssREAD,,33446504,AD,Disease,,Mouse,Cortex,,Female,NA,8 months,1967,,,Trem2-/--5XFAD (hT2AB),,,,
AD016001,GSE160512; GSE181786; GSE153895,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD016001.h5ad,ssREAD,,34965428,AD,Healthy,,Mouse,Hippocampus,,Female,NA,8 months,15278,,,Triple-transgenic Alzheimer disease (AD) mouse model,,,,
AD016002,GSE160512; GSE181786; GSE153895,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD016002.h5ad,ssREAD,,34965428,AD,Healthy,,Mouse,Hippocampus,,Female,NA,8 months,30363,,,anti-Nk1.1 treated 3XTg-AD,,,,
AD016003,GSE160512; GSE181786; GSE153895,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD016003.h5ad,ssREAD,,34965428,AD,Disease,,Mouse,Hippocampus,,Female,NA,7 months,7686,,,Triple-transgenic Alzheimer disease (AD) mouse model,,,,
AD016004,GSE160512; GSE181786; GSE153895,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD016004.h5ad,ssREAD,,34965428,AD,Disease,,Mouse,Hippocampus,,Female,NA,15 months,3606,,,anti-Nk1.1 treated 3XTg-AD,,,,
AD017001,GSE166548,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD017001.h5ad,ssREAD,,33606969,AD,Healthy,,Mouse,Other/combined,,Male,6,50-91 years,3564,,,NA,,,,
AD017002,GSE166304,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD017002.h5ad,ssREAD,,33606969,AD,Healthy,,Mouse,Other/combined,,Female,6,77+ years,6148,,,NA,,,,
AD017003,GSE166548,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD017003.h5ad,ssREAD,,33606969,AD,Disease,,Mouse,Other/combined,,Male,6,77+ years,5918,,,NA,,,,
AD017004,GSE166304,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD017004.h5ad,ssREAD,,33606969,AD,Disease,,Mouse,Other/combined,,Female,6,77+ years,5498,,,NA,,,,
AD018001,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD018001.h5ad,ssREAD,,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,15 months,7006,,,C57BL/6,,,,
AD018002,GSE143758,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD018002.h5ad,ssREAD,,32341542,AD,Disease,,Mouse,Hippocampus,,Male,NA,15 months,21515,,,5XFAD,,,,
AD019001,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019001.h5ad,ssREAD,,35165441,AD,Healthy,,Human,Other/combined,,Male,1 - 3; 2 - 4,57-93 years,2442,,,NA,,,,
AD019002,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019002.h5ad,ssREAD,,35165441,AD,Disease,,Human,Other/combined,,Male,"""5-6""",57-93 years,7817,,,NA,,,,
AD019003,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019003.h5ad,ssREAD,,35165441,AD,Disease,,Human,Other/combined,,Female,"""5-6""",57-93 years,11473,,,NA,,,,
AD019004,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019004.h5ad,ssREAD,,35165441,AD,Disease,,Human,Other/combined,,Male,"""5-6""",57-93 years,10898,,,NA,,,,
AD019005,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019005.h5ad,ssREAD,,35165441,AD,Disease,,Human,Other/combined,,Female,"""5-6""",10 months,32671,,,NA,,,,
AD019006,GSE163577,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD019006.h5ad,ssREAD,,35165441,AD,Healthy,,Human,Other/combined,,Female,"1 - 4; 1, 3, 4",75-90+ years,37554,,,NA,,,,
