Dataset_id,Public_dataset_id,Normation,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,Zhu_Age,N_cells,Protocol,Methodology,Model,
AD004003,GSE147495,logcounts,32320664,AD,Disease,AD004001,Mouse,Forebrain ,,Female,NA,10-12 months,10-12 months,7942,10x Genomics,Single-cell RNA sequencing,APP/PS1 IL33 mice,
AD004004,GSE147495,logcounts,32320664,AD,Disease,AD004001,Mouse,Forebrain ,,Male,NA,10-12 months,10-12 months,3314,10x Genomics,Single-cell RNA sequencing,Veh_IL33 mice,
AD004005,GSE147495,logcounts,32320664,AD,Disease,AD004001,Mouse,Forebrain ,,Male,NA,10-12 months,10-12 months,1697,10x Genomics,Single-cell RNA sequencing,DB2313_IL33 mice,
AD005001,GSE98969,logcounts,28602351,AD,Healthy,,Mouse,Whole brain,,Male,NA,6 months,6 months,740,MARS-seq,Single-cell RNA sequencing,C57BL/6,
AD005002,GSE98969,logcounts,28602351,AD,Disease,AD005001,Mouse,Whole brain,,Male,NA,6 months,6 months,2304,MARS-seq,Single-cell RNA sequencing,5XFAD,
AD006001,GSE143758,logcounts,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,7 months,7 months,1572,10x Genomics,Single-nucleus RNA sequencing,C57BL/6,
AD006002,GSE143758,logcounts,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,10 months,10 months,1148,10x Genomics,Single-nucleus RNA sequencing,C57BL/6,
AD006003,GSE143758,logcounts,32341542,AD,Disease,AD006001,Mouse,Hippocampus,,Male,NA,7 months,7 months,1146,10x Genomics,Single-nucleus RNA sequencing,5XFAD,
AD006004,GSE143758,logcounts,32341542,AD,Disease,AD006002,Mouse,Hippocampus,,Male,NA,10 months,10 months,2079,10x Genomics,Single-nucleus RNA sequencing,5XFAD,
AD007002,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Male,NA,6 months,6 months,432,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,C57BL/6J,
AD007003,GSE130626; GSE140399,logcounts,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Male,NA,12-14 months; 15 months,12-14 months; 15 months,3764,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,C57BL/6J; B6,
AD007004,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Female,NA,6 months,6 months,519,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,C57BL/6J,
AD007005,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Healthy,,Mouse,Hippocampus,,Female,NA,24 months,24 months,655,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,C57BL/6J,
AD007008,GSE103334,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months","3 months, 3.25 months, 3.5months, 4.5 months",1049,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,CK,
AD007009,GSE103334,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,,Mouse,Hippocampus,,Male,NA,"3 months, 3.25 months, 3.5months, 4.5 months","3 months, 3.25 months, 3.5months, 4.5 months",1150,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,CK-p25,
AD007010,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007002; AD007004,Mouse,Hippocampus,,Male,NA,6 months,6 months,278,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),
AD007011,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,12-14 months,12-14 months,755,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2 +/+ mice,
AD007012,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,12-14 months,12-14 months,794,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2 +/- mice,
AD007013,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,12-14 months,12-14 months,875,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2 -/- mice,
AD007014,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,15 months,15 months,2538,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO mice,
AD007015,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,15 months,15 months,2974,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,WT_5XFAD mice,
AD007016,GSE130626,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,15 months,15 months,2696,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,Trem2_KO_5XFAD mice,
AD007017,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007003,Mouse,Hippocampus,,Male,NA,24 months,24 months,456,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),
AD007018,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007004,Mouse,Hippocampus,,Female,NA,6 months,6 months,563,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),
AD007019,GSE141044,logcounts,"29020624,31902528,31928331,31932797",AD,Disease,AD007005,Mouse,Hippocampus,,Female,NA,24 months,24 months,377,Smart-seq2;10x Genomics,Single-cell RNA sequencing; Single-nucleus RNA sequencing,APP23 transgenic mice (B6. Cg-Tg (Thy1-APP)3Somm/J),
AD008001,GSE147528,logcounts,33432193,AD,Healthy,,Human,Prefrontal cortex,,Male,0,50-91 years,50-91 years,33711,10x Genomics,Single-nucleus RNA sequencing,NA,
AD008002,GSE147528,logcounts,33432193,AD,Disease,AD008001,Human,Prefrontal cortex,,Male,2,50-91 years,50-91 years,27946,10x Genomics,Single-nucleus RNA sequencing,NA,
AD008003,GSE147528,logcounts,33432193,AD,Disease,AD008001,Human,Prefrontal cortex,,Male,6,50-91 years,50-91 years,32901,10x Genomics,Single-nucleus RNA sequencing,NA,
AD009001,GSE150358,logcounts,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,5.5 months,2793,10x Genomics,Single-nucleus RNA sequencing,5XFAD-CV,
AD009002,GSE150358,logcounts,32579671,AD,Healthy,,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,5.5 months,18144,10x Genomics,Single-nucleus RNA sequencing,5XFAD-R47H,
AD009003,GSE150358,logcounts,32579671,AD,Disease,AD009001,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,5.5 months,5937,10x Genomics,Single-nucleus RNA sequencing,5XFAD-CV,
AD009004,GSE150358,logcounts,32579671,AD,Disease,AD009002,Mouse,Cortex and hippocampus,,Female,NA,5.5 months,5.5 months,16886,10x Genomics,Single-nucleus RNA sequencing,5XFAD-R47H,
AD010001,GSE142853,logcounts,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,,Female,NA,8 months,8 months,1676,10x Genomics,Single-cell RNA sequencing,B6129SF2/J,
AD010002,GSE142853,logcounts,32503894,AD,Healthy,,Mouse,Subventricular zone and hippocampus,,Female,NA,7 months,7 months,1689,10x Genomics,Single-cell RNA sequencing,isotype treated 3XTg-AD,
AD010003,GSE142853,logcounts,32503894,AD,Disease,AD010001,Mouse,Subventricular zone and hippocampus,,Female,NA,8 months,8 months,1695,10x Genomics,Single-cell RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model,
AD010004,GSE142853,logcounts,32503894,AD,Disease,AD010001,Mouse,Subventricular zone and hippocampus,,Female,NA,7 months,7 months,1164,10x Genomics,Single-cell RNA sequencing,anti-Nk1.1 treated 3XTg-AD,
AD011001,GSE129308,logcounts,35882228,AD,Healthy,,Human,Prefrontal cortex,,Male,6,57-93 years,57-93 years,13502,10x Genomics,Single-cell RNA sequencing,NA,
AD011002,GSE129308,logcounts,35882228,AD,Healthy,,Human,Prefrontal cortex,,Female,6,57-93 years,57-93 years,25014,10x Genomics,Single-cell RNA sequencing,NA,
AD011003,GSE129308,logcounts,35882228,AD,Disease,AD011001,Human,Prefrontal cortex,,Male,6,57-93 years,57-93 years,9120,10x Genomics,Single-cell RNA sequencing,NA,
AD011004,GSE129308,logcounts,35882228,AD,Disease,AD011002,Human,Prefrontal cortex,,Female,6,57-93 years,57-93 years,11873,10x Genomics,Single-cell RNA sequencing,NA,
AD012001,GSE146639,logcounts,33192286,AD,Healthy,,Human,Superior parietal lobe,,Male,NA,72-103 years,72-103 years,779,10x Genomics,Single-nucleus RNA sequencing,NA,
AD012002,GSE146639,logcounts,33192286,AD,Healthy,,Human,Superior parietal lobe,,Female,NA,72-103 years,72-103 years,939,10x Genomics,Single-nucleus RNA sequencing,NA,
AD012003,GSE146639,logcounts,33192286,AD,Disease,AD012001,Human,Superior parietal lobe,,Male,NA,72-103 years,72-103 years,3127,10x Genomics,Single-nucleus RNA sequencing,NA,
AD012004,GSE146639,logcounts,33192286,AD,Disease,AD012002,Human,Superior parietal lobe,,Female,NA,72-103 years,72-103 years,963,10x Genomics,Single-nucleus RNA sequencing,NA,
AD012005,GSE146639,logcounts,33192286,AD,Disease,AD012001,Human,Superior parietal lobe,,Male,NA,72-103 years,72-103 years,1731,10x Genomics,Single-nucleus RNA sequencing,NA,
AD012006,GSE146639,logcounts,33192286,AD,Disease,AD012002,Human,Superior parietal lobe,,Female,NA,72-103 years,72-103 years,8632,10x Genomics,Single-nucleus RNA sequencing,NA,
AD013001,GSE157827,logcounts,32989152,AD,Healthy,,Human,Prefrontal cortex,,Male,"1,2",85.4 years,85.4 years,23304,10x Genomics,Single-nucleus RNA sequencing,NA,
AD013002,GSE157827,logcounts,32989152,AD,Healthy,,Human,Prefrontal cortex,,Female,"1,2",85.4 years,85.4 years,7663,10x Genomics,Single-nucleus RNA sequencing,NA,
AD013003,GSE157827,logcounts,32989152,AD,Disease,AD013001; AD013002,Human,Prefrontal cortex,,Male,"""4-6""",74.6 years,74.6 years,28183,10x Genomics,Single-nucleus RNA sequencing,NA,
AD013004,GSE157827,logcounts,32989152,AD,Disease,AD013001; AD013002,Human,Prefrontal cortex,,Female,"""4-6""",74.6 years,74.6 years,5480,10x Genomics,Single-nucleus RNA sequencing,NA,
AD014001,syn21438358,logcounts,33257666,AD,Healthy,,Human,Prefrontal cortex,,Male,3,93-96 years,93-96 years,10283,10x Genomics,Single-cell RNA sequencing,NA,
AD014002,syn21438358,logcounts,33257666,AD,Healthy,,Human,Prefrontal cortex,,Female,3,93-96 years,93-96 years,4492,10x Genomics,Single-cell RNA sequencing,NA,
AD014003,syn21438358,logcounts,33257666,AD,Disease,AD014001; AD014002,Human,Prefrontal cortex,,Male,"""1-3""",79-98 years,79-98 years,24786,10x Genomics,Single-cell RNA sequencing,NA,
AD014004,syn21438358,logcounts,33257666,AD,Disease,AD014001; AD014002,Human,Prefrontal cortex,,Female,"""1-3""",79-98 years,79-98 years,27291,10x Genomics,Single-cell RNA sequencing,NA,
AD015001,GSE156183,logcounts,33446504,AD,Healthy,,Mouse,Cortex,,Male,NA,8 months,8 months,12583,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG),
AD015002,GSE156183,logcounts,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,8 months,6194,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG),
AD015003,GSE156183,logcounts,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,8 months,13954,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (IgG),
AD015004,GSE156183,logcounts,33446504,AD,Healthy,,Mouse,Cortex,,Male,NA,8 months,8 months,9876,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG),
AD015005,GSE156183,logcounts,33446504,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,8 months,17232,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG),
AD015006,GSE156183,logcounts,33446504,AD,Disease,,Mouse,Cortex,,Male,NA,8 months,8 months,31334,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB),
AD015007,GSE156183,logcounts,33446504,AD,Disease,,Mouse,Cortex,,Female,NA,8 months,8 months,12121,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB),
AD015008,GSE156183,logcounts,33446504,AD,Disease,,Mouse,Cortex,,Female,NA,8 months,8 months,1967,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (hT2AB),
AD016001,GSE160512; GSE181786; GSE153895,logcounts,34965428,AD,Healthy,,Mouse,Hippocampus,,Female,NA,8 months,8 months,15278,10x Genomics,Single-nucleus RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model,
AD016002,GSE160512; GSE181786; GSE153895,logcounts,34965428,AD,Healthy,,Mouse,Hippocampus,,Female,NA,8 months,8 months,30363,10x Genomics,Single-nucleus RNA sequencing,anti-Nk1.1 treated 3XTg-AD,
AD016003,GSE160512; GSE181786; GSE153895,logcounts,34965428,AD,Disease,AD016001,Mouse,Hippocampus,,Female,NA,7 months,7 months,7686,10x Genomics,Single-nucleus RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model,
AD016004,GSE160512; GSE181786; GSE153895,logcounts,34965428,AD,Disease,AD016002,Mouse,Hippocampus,,Female,NA,15 months,15 months,3606,10x Genomics,Single-nucleus RNA sequencing,anti-Nk1.1 treated 3XTg-AD,
AD017001,GSE166548,logcounts,33606969,AD,Healthy,,Mouse,Other/combined,,Male,6,50-91 years,50-91 years,3564,10x Genomics,Single-nucleus RNA sequencing,NA,
AD017002,GSE166304,logcounts,33606969,AD,Healthy,,Mouse,Other/combined,,Female,6,77+ years,77+ years,6148,10x Genomics,Single-nucleus RNA sequencing,NA,
AD017003,GSE166548,logcounts,33606969,AD,Disease,AD017001,Mouse,Other/combined,,Male,6,77+ years,77+ years,5918,10x Genomics,Single-nucleus RNA sequencing,NA,
AD017004,GSE166304,logcounts,33606969,AD,Disease,AD017002,Mouse,Other/combined,,Female,6,77+ years,77+ years,5498,10x Genomics,Single-nucleus RNA sequencing,NA,
AD018001,GSE143758,logcounts,32341542,AD,Healthy,,Mouse,Hippocampus,,Male,NA,15 months,15 months,7006,10x Genomics,Single-nucleus RNA sequencing,C57BL/6,
AD018002,GSE143758,logcounts,32341542,AD,Disease,AD018001,Mouse,Hippocampus,,Male,NA,15 months,15 months,21515,10x Genomics,Single-nucleus RNA sequencing,5XFAD,
AD019001,GSE163577,logcounts,35165441,AD,Healthy,,Human,Other/combined,,Male,1 - 3; 2 - 4,57-93 years,57-93 years,2442,10x Genomics,Single-nucleus RNA sequencing,NA,
AD019002,GSE163577,logcounts,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,,Male,"""5-6""",57-93 years,57-93 years,7817,10x Genomics,Single-nucleus RNA sequencing,NA,
AD019003,GSE163577,logcounts,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,,Female,"""5-6""",57-93 years,57-93 years,11473,10x Genomics,Single-nucleus RNA sequencing,NA,
AD019004,GSE163577,logcounts,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,,Male,"""5-6""",57-93 years,57-93 years,10898,10x Genomics,Single-nucleus RNA sequencing,NA,
AD019005,GSE163577,logcounts,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,,Female,"""5-6""",10 months,10 months,32671,10x Genomics,Single-nucleus RNA sequencing,NA,
AD019006,GSE163577,logcounts,35165441,AD,Healthy,,Human,Other/combined,,Female,"1 - 4; 1, 3, 4",75-90+ years,75-90+ years,37554,10x Genomics,Single-nucleus RNA sequencing,NA,
AD020001,GSE160936,logcounts,34767070,AD,Healthy,,Human,Other/combined,,Male,NA,75-90+ years; 77-90+ years,75-90+ years; 77-90+ years,10715,10x Genomics,Single-nucleus RNA sequencing,NA,
AD020002,GSE160936,logcounts,34767070,AD,Healthy,,Human,Other/combined,,Female,NA,75-90+ years,75-90+ years,14908,10x Genomics,Single-nucleus RNA sequencing,NA,
AD020003,GSE160936,logcounts,34767070,AD,Disease,AD020001; AD020002,Human,Other/combined,,Male,NA,75-90+ years,75-90+ years,33224,10x Genomics,Single-nucleus RNA sequencing,NA,
AD021001,GSE176032,logcounts,34103079,AD,Healthy,,Mouse,Whole brain,,Female,NA,8 months,8 months,4417,10x Genomics,Single-nucleus RNA sequencing,B6129SF2/J,
AD021002,GSE176032,logcounts,34103079,AD,Healthy,,Mouse,Whole brain,,Female,NA,8 months,8 months,3344,10x Genomics,Single-nucleus RNA sequencing,isotype treated 3XTg-AD,
AD021003,GSE176032,logcounts,34103079,AD,Disease,AD021001; AD021002,Mouse,Whole brain,,Female,NA,7 months,7 months,9826,10x Genomics,Single-nucleus RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model,
AD022001,GSE165306,logcounts,33609158,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",24 weeks,24 weeks,17423,10x Genomics,Single-nucleus RNA sequencing,NA,
AD022002,GSE165306,logcounts,34021136,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",8 months,8 months,8726,10x Genomics,Single-nucleus RNA sequencing,NA,
AD022003,GSE165306,logcounts,34021136,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",8 months,8 months,39457,10x Genomics,Single-nucleus RNA sequencing,NA,
AD023001,GSE167497,logcounts,33958804,AD,Healthy,,Mouse,Hippocampus,,Male,0,72-103 years,72-103 years,9055,10x Genomics,Single-nucleus RNA sequencing,NA,
AD023002,GSE167497,logcounts,33958804,AD,Healthy,,Mouse,Hippocampus,,Female,NA,50-91 years,50-91 years,5208,10x Genomics,Single-nucleus RNA sequencing,NA,
AD023003,GSE167497,logcounts,33958804,AD,Disease,AD023001,Mouse,Hippocampus,,Male,"""5-6""",50-91 years,50-91 years,16411,10x Genomics,Single-nucleus RNA sequencing,NA,
AD023004,GSE167497,logcounts,33958804,AD,Disease,AD023002,Mouse,Hippocampus,,Female,4,50-91 years,50-91 years,25238,10x Genomics,Single-nucleus RNA sequencing,NA,
AD024001,GSE148822,logcounts,33609158,AD,Healthy,,Human,Occipital lobe,,Male,NA,50-91 years,50-91 years,7364,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG),
AD024002,GSE148822,logcounts,33609158,AD,Healthy,,Human,Occipital lobe,,Female,NA,,no data available,4560,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG),
AD024003,GSE148822,logcounts,33609158,AD,Healthy,,Human,Occipital lobe,,Female,NA,,no data available,50578,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (IgG),
AD024004,GSE148822,logcounts,33609158,AD,Healthy,,Human,Occipital lobe,,Male,NA,,no data available,37508,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG),
AD024005,GSE148822,logcounts,33609158,AD,Disease,,Human,Occipital lobe,,Female,4,"mean age 77.6, range 67.3-91 years; 50-91 years","mean age 77.6, range 67.3-91 years; 50-91 years",27831,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG),
AD024006,GSE148822,logcounts,33609158,AD,Disease,,Human,Occipital lobe,,Male,5,"mean age 77.6, range 67.3-91 years","mean age 77.6, range 67.3-91 years",53127,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB),
AD025001,syn23763409,logcounts,33567283,AD,Healthy,,Mouse,Whole brain,,Female,4,24 weeks,24 weeks,9032,10x Genomics,Single-cell RNA sequencing,B6C3,
AD025002,syn23763409,logcounts,33567283,AD,Disease,AD025001,Mouse,Whole brain,,Female,5,8 months,8 months,20901,10x Genomics,Single-cell RNA sequencing,APP/PS1 transgenic mice,
AD025003,syn23763409,logcounts,33567283,AD,Disease,AD025001,Mouse,Whole brain,,Female,NA,7 months,7 months,2373,10x Genomics,Single-cell RNA sequencing,APP/PS1 IL33 mice,
AD026001,GSE146639,logcounts,33192286,AD,Healthy,,Mouse,Other/combined,,Male,NA,7 months,7 months,10200,10x Genomics,Single-nucleus RNA sequencing,B6,
AD026002,GSE146639,logcounts,33192286,AD,Disease,AD026001,Mouse,Other/combined,,Male,NA,7 months,7 months,19859,10x Genomics,Single-nucleus RNA sequencing,5XFAD,
AD026003,GSE146639,logcounts,33192286,AD,Disease,AD026001,Mouse,Other/combined,,Male,NA,8 months,8 months,25255,10x Genomics,Single-nucleus RNA sequencing,Trem2_KO mice,
