Dataset_id,Public_dataset_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Protocol,Methodology,Model
AD018002,GSE143758,32341542,AD,Disease,AD018001,Mouse,Hippocampus,Male,NA,15 months,20071,10x Genomics,Single-nucleus RNA sequencing,5XFAD
AD019001,GSE163577,35165441,AD,Healthy,,Human,Other/combined,Male,1 - 3; 2 - 4,57-93 years,2312,10x Genomics,Single-nucleus RNA sequencing,NA
AD019002,GSE163577,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,Male,"""5-6""",57-93 years,7348,10x Genomics,Single-nucleus RNA sequencing,NA
AD019003,GSE163577,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,Female,"""5-6""",57-93 years,10206,10x Genomics,Single-nucleus RNA sequencing,NA
AD019004,GSE163577,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,Male,"""5-6""",57-93 years,9414,10x Genomics,Single-nucleus RNA sequencing,NA
AD019005,GSE163577,35165441,AD,Disease,AD019001; AD019006,Human,Other/combined,Female,"""5-6""",10 months,30726,10x Genomics,Single-nucleus RNA sequencing,NA
AD019006,GSE163577,35165441,AD,Healthy,,Human,Other/combined,Female,"1 - 4; 1, 3, 4",75-90+ years,36506,10x Genomics,Single-nucleus RNA sequencing,NA
AD020001,GSE160936,34767070,AD,non-ND control,,Human,Other/combined,Male,NA,75-90+ years; 77-90+ years,10418,10x Genomics,Single-nucleus RNA sequencing,NA
AD020002,GSE160936,34767070,AD,non-ND control,,Human,Other/combined,Female,NA,75-90+ years,14770,10x Genomics,Single-nucleus RNA sequencing,NA
AD020003,GSE160936,34767070,AD,Disease,AD020001; AD020002,Human,Other/combined,Male,NA,75-90+ years,32522,10x Genomics,Single-nucleus RNA sequencing,NA
AD021001,GSE176032,34103079,AD,Healthy,,Mouse,Whole brain,Female,NA,8 months,4329,10x Genomics,Single-nucleus RNA sequencing,B6129SF2/J
AD021002,GSE176032,34103079,AD,Healthy,,Mouse,Whole brain,Female,NA,8 months,3272,10x Genomics,Single-nucleus RNA sequencing,isotype treated 3XTg-AD
AD021003,GSE176032,34103079,AD,Disease,AD021001; AD021002,Mouse,Whole brain,Female,NA,7 months,9599,10x Genomics,Single-nucleus RNA sequencing,Triple-transgenic Alzheimer disease (AD) mouse model
AD022001,GSE165306,33609158,AD,Disease,,Mouse,Other/combined,Male,"""5-6""",24 weeks,17078,10x Genomics,Single-nucleus RNA sequencing,NA
AD022002,GSE165306,34021136,AD,Disease,,Mouse,Other/combined,Male,"""5-6""",8 months,8446,10x Genomics,Single-nucleus RNA sequencing,NA
AD022003,GSE165306,34021136,AD,Disease,,Mouse,Other/combined,Male,"""5-6""",8 months,38513,10x Genomics,Single-nucleus RNA sequencing,NA
AD023001,GSE167497,33958804,AD,Healthy,,Mouse,Hippocampus,Male,0,no data available,8755,10x Genomics,Single-nucleus RNA sequencing,NA
AD023002,GSE167497,33958804,AD,Healthy,,Mouse,Hippocampus,Female,NA,no data available,5038,10x Genomics,Single-nucleus RNA sequencing,NA
AD023003,GSE167497,33958804,AD,Disease,AD023001,Mouse,Hippocampus,Male,"""5-6""",no data available,16002,10x Genomics,Single-nucleus RNA sequencing,NA
AD023004,GSE167497,33958804,AD,Disease,AD023002,Mouse,Hippocampus,Female,4,no data available,24478,10x Genomics,Single-nucleus RNA sequencing,NA
AD024001,GSE148822,33609158,AD,Healthy,,Human,Occipital lobe,Male,NA,no data available,7127,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG)
AD024002,GSE148822,33609158,AD,Healthy,,Human,Occipital lobe,Female,NA,no data available,4416,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (IgG)
AD024003,GSE148822,33609158,AD,Healthy,,Human,Occipital lobe,Female,NA,no data available,49422,10x Genomics,Single-nucleus RNA sequencing,Trem2-/--5XFAD (IgG)
AD024004,GSE148822,33609158,AD,Healthy,,Human,Occipital lobe,Male,NA,no data available,35182,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG)
AD024005,GSE148822,33609158,AD,Disease,,Human,Occipital lobe,Female,4,"mean age 77.6, range 67.3-91 years; 50-91 years",26883,10x Genomics,Single-nucleus RNA sequencing,TREM2R47H-5XFAD (IgG)
AD024006,GSE148822,33609158,AD,Disease,,Human,Occipital lobe,Male,5,"mean age 77.6, range 67.3-91 years",51975,10x Genomics,Single-nucleus RNA sequencing,TREM2CV-5XFAD (hT2AB)
AD025001,syn23763409,33567283,AD,Healthy,,Mouse,Whole brain,Female,4,24 weeks,8768,10x Genomics,Single-cell RNA sequencing,B6C3
AD025002,syn23763409,33567283,AD,Disease,AD025001,Mouse,Whole brain,Female,5,8 months,20191,10x Genomics,Single-cell RNA sequencing,APP/PS1 transgenic mice
AD025003,syn23763409,33567283,AD,Disease,AD025001,Mouse,Whole brain,Female,NA,7 months,2189,10x Genomics,Single-cell RNA sequencing,APP/PS1 IL33 mice
AD026001,GSE146639,33192286,AD,no data available,,Human,no data available,no data available,NA,no data available,9865,no data available,Single-nucleus RNA sequencing,no data available
AD026002,GSE146639,33192286,AD,no data available,AD026001,Human,no data available,no data available,NA,no data available,18523,no data available,Single-nucleus RNA sequencing,no data available
AD026003,GSE146639,33192286,AD,no data available,AD026001,Human,no data available,no data available,NA,no data available,22930,no data available,Single-nucleus RNA sequencing,no data available
AD026004,GSE146639,33192286,AD,no data available,AD026001,Human,no data available,no data available,NA,no data available,21166,no data available,Single-nucleus RNA sequencing,no data available
AD027001,GSE158234,33097708,AD,Healthy,,Human,Cortex,Male,NA,7 months,1015,10x Genomics,Single-nucleus RNA sequencing,MITRG (transplanted human into mouse)
AD027002,GSE158234,33097708,AD,Disease,AD027001,Human,Cortex,Male,NA,7 months,4558,10x Genomics,Single-nucleus RNA sequencing,5XMITRG (transplanted human into mouse)
AD028001,GSE153807,32997994,AD,Healthy,,Human,Temporal lobe,Male,6,75-90+ years,4864,10x Genomics,Single-nucleus RNA sequencing,NA
AD028002,GSE153807,32997994,AD,Healthy,,Human,Temporal lobe,Female,6,50-91 years,15153,10x Genomics,Single-nucleus RNA sequencing,NA
AD028003,GSE153807,32997994,AD,Disease,,Human,Temporal lobe,Male,6,50-91 years,8512,10x Genomics,Single-nucleus RNA sequencing,NA
AD028004,GSE153807,32997994,AD,Disease,,Human,Temporal lobe,Female,6,75-90+ years,7814,10x Genomics,Single-nucleus RNA sequencing,NA
AD029001,GSE152867,32726626,AD,Healthy,,Mouse,Other/combined,Female,NA,NA,31591,10x Genomics,Single-nucleus RNA sequencing,E5487 (transplated human cells to mouse)
AD029002,GSE152867,32726626,AD,Disease,AD029001,Mouse,Other/combined,Female,NA,NA,21955,10x Genomics,Single-nucleus RNA sequencing,E5487(transplated human cells to mouse)
AD029003,GSE152867,32726626,AD,Healthy,,Mouse,Other/combined,Female,NA,NA,10176,10x Genomics,Single-nucleus RNA sequencing,E4KI(transplated human cells to mouse)
AD029004,GSE152867,32726626,AD,Disease,AD029003,Mouse,Other/combined,Female,NA,NA,12647,10x Genomics,Single-nucleus RNA sequencing,E4KI(transplated human cells to mouse)
AD030001,GSE140511,31932797,AD,Healthy,,Mouse,Prefrontal cortex,Male,NA,NA,18553,10x Genomics,Single-nucleus RNA sequencing,C57BL/6J; B6
AD030002,GSE140511,31932797,AD,Healthy,,Mouse,Prefrontal cortex,Male,NA,NA,16075,10x Genomics,Single-nucleus RNA sequencing,B6
AD030003,GSE140511,31932797,AD,Disease,AD030001; AD030002,Mouse,Prefrontal cortex,Male,NA,15 months,12065,10x Genomics,Single-nucleus RNA sequencing,5XFAD
AD030004,GSE140511,31932797,AD,Disease,AD030001; AD030002,Mouse,Prefrontal cortex,Male,NA,7 months,34011,10x Genomics,Single-nucleus RNA sequencing,Trem2_KO mice
AD030005,GSE140511,31932797,AD,Disease,AD030001; AD030002,Mouse,Prefrontal cortex,Male,NA,7 months,23634,10x Genomics,Single-nucleus RNA sequencing,WT_5XFAD mice
AD030006,GSE140511,31932797,AD,Disease,AD030001; AD030002,Mouse,Prefrontal cortex,Male,NA,7 months,32928,10x Genomics,Single-nucleus RNA sequencing,Trem2_KO_5XFAD mice
AD031001,GSE142267; GSE110741,31951107,AD,Healthy,,Mouse,Hippocampus,Male,"1,2",4-11 months,21899,10x Genomics,Single-nucleus RNA sequencing,NA
