Paper_id,public_data_id,Disease,species,n_samples,pmid,library_prep_protocol,methodology,title,journal,author,citation,abstract,doi,Publish date,Brain Region,drug?,single cell?,scRNA index,figure_type
ST011,CNP0001543,AD,Mouse,69,35512705,Stereo-seq,,Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays,Cell,"Ao Chen, Sha Liao, Mengnan Cheng, Longqi Liu, Xun Xu, Jian Wang","Chen A, Liao S, Cheng M, Ma K, Wu L, Lai Y, et al. Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays. Cell [Internet]. 2022 May 4 [cited 2022 May 7];0(0). Available from: https://www.cell.com/cell/abstract/S0092-8674(22)00399-3","Spatially resolved transcriptomic technologies are promising tools to study complex biological processes such as mammalian embryogenesis. However, the imbalance between resolution, gene capture, and field of view of current methodologies precludes their systematic application to analyze relatively large and three-dimensional mid- and late-gestation embryos. Here, we combined DNA nanoball (DNB)-patterned arrays and in situ RNA capture to create spatial enhanced resolution omics-sequencing (Stereo-seq). We applied Stereo-seq to generate the mouse organogenesis spatiotemporal transcriptomic atlas (MOSTA), which maps with single-cell resolution and high sensitivity the kinetics and directionality of transcriptional variation during mouse organogenesis. We used this information to gain insight into the molecular basis of spatial cell heterogeneity and cell fate specification in developing tissues such as the dorsal midbrain. Our panoramic atlas will facilitate in-depth investigation of longstanding questions concerning normal and abnormal mammalian development.",10.1016/j.cell.2022.04.003,5/4/22,Whole Brain,,,,
ST012,GSE203424,AD,Mouse,12,36448627,10x genomics,,Microglial INPP5D limits plaque formation and glial reactivity in the PSAPP mouse model of Alzheimer’s disease,Alzheimers Dement,"Castranio EL, Hasel P, Haure-Mirande JV, Ramirez Jimenez AV, Hamilton BW, Kim RD, Glabe CG, Wang M, Zhang B, Gandy S, Liddelow SA, Ehrlich ME.",,"Castranio EL, Hasel P, Haure-Mirande JV, Ramirez Jimenez AV, Hamilton BW, Kim RD, Glabe CG, Wang M, Zhang B, Gandy S, Liddelow SA, Ehrlich ME. Microglial INPP5D limits plaque formation and glial reactivity in the PSAPP mouse model of Alzheimer's disease. Alzheimers Dement. 2023 Jun;19(6):2239-2252. doi: 10.1002/alz.12821. Epub 2022 Nov 30. PMID: 36448627; PMCID: PMC10481344.",10.1002/alz.12821,9/6/23,Hippocampus,,,,H&E
ST013,GSE212323,AD,Mouse,6,36871219,10x genomics,,"APOE modulates microglial immunometabolism in response to age, amyloid pathology, and inflammatory challenge",Cell Rep,"Lee S, Devanney NA, Golden LR, Smith CT, Schwartz JL, Walsh AE, Clarke HA, Goulding DS, Allenger EJ, Morillo-Segovia G, Friday CM, Gorman AA, Hawkinson TR, MacLean SM, Williams HC, Sun RC, Morganti JM, Johnson LA","Lee S, Devanney NA, Golden LR, Smith CT, Schwartz JL, Walsh AE, Clarke HA, Goulding DS, Allenger EJ, Morillo-Segovia G, Friday CM, Gorman AA, Hawkinson TR, MacLean SM, Williams HC, Sun RC, Morganti JM, Johnson LA. APOE modulates microglial immunometabolism in response to age, amyloid pathology, and inflammatory challenge. Cell Rep. 2023 Mar 28;42(3):112196. doi: 10.1016/j.celrep.2023.112196. Epub 2023 Mar 3. PMID: 36871219; PMCID: PMC10117631.","The E4 allele of Apolipoprotein E (APOE) is associated with both metabolic dysfunction and a heightened proinflammatory response: two findings that may be intrinsically linked through the concept of immunometabolism. Here, we combined bulk, single-cell, and spatial transcriptomics with cell-specific and spatially resolved metabolic analyses in mice expressing human APOE to systematically address the role of APOE across age, neuroinflammation, and AD pathology. RNA sequencing (RNA-seq) highlighted immunometabolic changes across the APOE4 glial transcriptome, specifically in subsets of metabolically distinct microglia enriched in the E4 brain during aging or following an inflammatory challenge. E4 microglia display increased Hif1α expression and a disrupted tricarboxylic acid (TCA) cycle and are inherently pro-glycolytic, while spatial transcriptomics and mass spectrometry imaging highlight an E4-specific response to amyloid that is characterized by widespread alterations in lipid metabolism. Taken together, our findings emphasize a central role for APOE in regulating microglial immunometabolism and provide valuable, interactive resources for discovery and validation research.",10.1016/j.celrep.2023.112196,3/28/23,Whole Brain,,,,H&E
ST014,GSE222981,AD,Mouse,3,36819717,10x genomics,,Moxibustion improves hypothalamus Aqp4 polarization in APP/PS1 mice: Evidence from spatial transcriptomics,Front Aging Neurosci,"Liu S, Li H, Shen Y, Zhu W, Wang Y, Wang J, Zhang N, Li C, Xie L, Wu Q","Liu S, Li H, Shen Y, Zhu W, Wang Y, Wang J, Zhang N, Li C, Xie L, Wu Q. Moxibustion improves hypothalamus Aqp4 polarization in APP/PS1 mice: Evidence from spatial transcriptomics. Front Aging Neurosci. 2023 Feb 2;15:1069155. doi: 10.3389/fnagi.2023.1069155. PMID: 36819717; PMCID: PMC9931733.","Aquaporin-4 (AQP4) is highly polarized to perivascular astrocytic endfeet. Loss of AQP4 polarization is associated with many diseases. In Alzheimer's disease (AD), AQP4 loses its normal location and thus reduces the clearance of amyloid-β plaques and tau protein. Clinical and experimental studies showed that moxibustion can improve the learning and memory abilities of AD. To explore whether moxibustion can affect the polarization of AQP4 around the blood-brain barrier (BBB), we used spatial transcriptomics (ST) to analyze the expression and polarization of Aqp4 in wild-type mice, APP/PS1 mice, and APP/PS1 mice intervened by moxibustion. The results showed that moxibustion improved the loss of abnormal polarization of AQP4 in APP/PS1 mice, especially in the hypothalamic BBB. Besides, the other 31 genes with Aqp4 as the core have similar depolarization in APP/PS1 mice, most of which are also membrane proteins. The majority of them have been reversed by moxibustion. At the same time, we employed the cerebrospinal fluid circulation gene set, which was found to be at a higher level in the group of APP/PS1 mice with moxibustion treatment. Finally, to further explore its mechanism, we analyzed the mitochondrial respiratory chain complex enzymes closely related to energy metabolism and found that moxibustion can significantly increase the expression of mitochondrial respiratory chain enzymes such as Cox6a2 in the hypothalamus, which could provide energy for mRNA transport. Our research shows that increasing the polarization of hypothalamic Aqp4 through mitochondrial energy supply may be an important target for moxibustion to improve cognitive impairment in APP/PS1 mice.",10.3389/fnagi.2023.1069155,2/2/23,Whole Brain,,,,H&E
ST015,GSE218360,AD,Mouse,8,37436901,10x genomics,,Multi-transcriptomics reveals brain cellular responses to peripheral infection in Alzheimer’s disease model mice,Cell Rep,"Lu Y, Saibro-Girardi C, Fitz NF, McGuire MR, Ostach MA, Mamun-Or-Rashid ANM, Lefterov I, Koldamova R.","Lu Y, Saibro-Girardi C, Fitz NF, McGuire MR, Ostach MA, Mamun-Or-Rashid ANM, Lefterov I, Koldamova R. Multi-transcriptomics reveals brain cellular responses to peripheral infection in Alzheimer's disease model mice. Cell Rep. 2023 Jul 25;42(7):112785. doi: 10.1016/j.celrep.2023.112785. Epub 2023 Jul 11. PMID: 37436901; PMCID: PMC10530196.","Peripheral inflammation has been linked to various neurodegenerative disorders, including Alzheimer's disease (AD). Here we perform bulk, single-cell, and spatial transcriptomics in APP/PS1 mice intranasally exposed to Staphylococcus aureus to determine how low-grade peripheral infection affects brain transcriptomics and AD-like pathology. Chronic exposure led to increased amyloid plaque burden and plaque-associated microglia, significantly affecting the transcription of brain barrier-associated cells, which resulted in barrier leakage. We reveal cell-type- and spatial-specific transcriptional changes related to brain barrier function and neuroinflammation during the acute infection. Both acute and chronic exposure led to brain macrophage-associated responses and detrimental effects in neuronal transcriptomics. Finally, we identify unique transcriptional responses at the amyloid plaque niches following acute infection characterized by higher disease-associated microglia gene expression and a larger effect on astrocytic or macrophage-associated genes, which could facilitate amyloid and related pathologies. Our findings provide important insights into the mechanisms linking peripheral inflammation to AD pathology.",10.1016/j.celrep.2023.112785,7/25/23,MTG,,,,
ST016,https://knowledge.brain-map.org/data/FHUUK19A5XJ7FC9YYT4/explore?filterOptions%5Ba%5D=&genes=a%3A&layoutState=Single&views=a~15894.722610583702-21360.959668159347_96161.8732568897-56094.42606651901_0_web-image&visualizations=a~QNZMGOZXH4EPCIU3V3A%3AY1EM7CBU8LJUK815ABL~METADATA%3ABZY7XBG34URAT1IU3C7%3Anull%3Anull%3Anull%3Afalse%3A0.5,AD,Human,24,37292694,MERFISH,,Integrated multimodal cell atlas of Alzheimer’s disease: SEA-AD MERFISH,Res Sq [Preprint].,"Gabitto MI, Travaglini KJ, Rachleff VM, Kaplan ES, Long B, Ariza J, Ding Y, Mahoney JT, Dee N, Goldy J, Melief EJ, Brouner K, Campos J, Carr AJ, Casper T, Chakrabarty R, Clark M, Compos J, Cool J, Valera Cuevas NJ, Dalley R, Darvas M, Ding SL, Dolbeare T, Mac Donald CL, Egdorf T, Esposito L, Ferrer R, Gala R, Gary A, Gloe J, Guilford N, Guzman J, Ho W, Jarksy T, Johansen N, Kalmbach BE, Keene LM, Khawand S, Kilgore M, Kirkland A, Kunst M, Lee BR, Malone J, Maltzer Z, Martin N, McCue R, McMillen D, Meyerdierks E, Meyers KP, Mollenkopf T, Montine M, Nolan AL, Nyhus J, Olsen PA, Pacleb M, Pham T, Pom CA, Postupna N, Ruiz A, Schantz AM, Sorensen SA, Staats B, Sullivan M, Sunkin SM, Thompson C, Tieu M, Ting J, Torkelson A, Tran T, Wang MQ, Waters J, Wilson AM, Haynor D, Gatto N, Jayadev S, Mufti S, Ng L, Mukherjee S, Crane PK, Latimer CS, Levi BP, Smith K, Close JL, Miller JA, Hodge RD, Larson EB, Grabowski TJ, Hawrylycz M, Keene CD, Lein ES.","Gabitto MI, Travaglini KJ, Rachleff VM, Kaplan ES, Long B, Ariza J, Ding Y, Mahoney JT, Dee N, Goldy J, Melief EJ, Brouner K, Campos J, Carr AJ, Casper T, Chakrabarty R, Clark M, Compos J, Cool J, Valera Cuevas NJ, Dalley R, Darvas M, Ding SL, Dolbeare T, Mac Donald CL, Egdorf T, Esposito L, Ferrer R, Gala R, Gary A, Gloe J, Guilford N, Guzman J, Ho W, Jarksy T, Johansen N, Kalmbach BE, Keene LM, Khawand S, Kilgore M, Kirkland A, Kunst M, Lee BR, Malone J, Maltzer Z, Martin N, McCue R, McMillen D, Meyerdierks E, Meyers KP, Mollenkopf T, Montine M, Nolan AL, Nyhus J, Olsen PA, Pacleb M, Pham T, Pom CA, Postupna N, Ruiz A, Schantz AM, Sorensen SA, Staats B, Sullivan M, Sunkin SM, Thompson C, Tieu M, Ting J, Torkelson A, Tran T, Wang MQ, Waters J, Wilson AM, Haynor D, Gatto N, Jayadev S, Mufti S, Ng L, Mukherjee S, Crane PK, Latimer CS, Levi BP, Smith K, Close JL, Miller JA, Hodge RD, Larson EB, Grabowski TJ, Hawrylycz M, Keene CD, Lein ES. Integrated multimodal cell atlas of Alzheimer's disease. Res Sq [Preprint]. 2023 May 23:rs.3.rs-2921860. doi: 10.21203/rs.3.rs-2921860/v1. PMID: 37292694; PMCID: PMC10246227.","Explore the largest cell-resolution spatial transcriptomics (MERFISH) data set in human brain to date, which provides accurate spatial annotation and colocalization of cell types in the middle temporal gyrus (MTG) of 24 donors from the SEA-AD aged cohort that span the spectrum of Alzheimer’s disease. The spatial transcriptomics dataset can be viewed in parallel with the ~2.8 million cells collected from MTG and dorsolateral prefrontal cortex (DFC) using single nucleus transcriptomics and multiomics, and organized into a joint taxonomy to allow exploration of gene expression in the context of cell types and donor metrics (see “Single Nucleus Transcriptomics” section above).",,5/23/23,"Hippocampus, cortex",,,,
ST017,https://singlecell.broadinstitute.org/single_cell/study/SCP1375/integrative-in-situ-mapping-of-single-cell-transcriptional-states-and-tissue-histopathology-in-an-alzheimer-disease-model#study-download,AD,Mouse,11,36732642,STARmap PLUS,,Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in a mouse model of Alzheimer’s disease,Nature Neuroscience,"Zeng H, Huang J, Zhou H, Meilandt WJ, Dejanovic B, Zhou Y, Bohlen CJ, Lee SH, Ren J, Liu A, Tang Z, Sheng H, Liu J, Sheng M, Wang X","Zeng H, Huang J, Zhou H, Meilandt WJ, Dejanovic B, Zhou Y, Bohlen CJ, Lee SH, Ren J, Liu A, Tang Z, Sheng H, Liu J, Sheng M, Wang X. Integrative in situ mapping of single-cell transcriptional states and tissue histopathology in a mouse model of Alzheimer's disease. Nat Neurosci. 2023 Mar;26(3):430-446. doi: 10.1038/s41593-022-01251-x. Epub 2023 Feb 2. PMID: 36732642.","Complex diseases are characterized by spatiotemporal cellular and molecular changes that may be difficult to comprehensively capture. However, understanding the spatiotemporal dynamics underlying pathology can shed light on disease mechanisms and progression. Here we introduce STARmap PLUS, a method that combines high-resolution spatial transcriptomics with protein detection in the same tissue section. As proof of principle, we analyze brain tissues of a mouse model of Alzheimer's disease at 8 and 13 months of age. Our approach provides a comprehensive cellular map of disease progression. It reveals a core-shell structure where disease-associated microglia (DAM) closely contact amyloid-β plaques, whereas disease-associated astrocyte-like (DAA-like) cells and oligodendrocyte precursor cells (OPCs) are enriched in the outer shells surrounding the plaque-DAM complex. Hyperphosphorylated tau emerges mainly in excitatory neurons in the CA1 region and correlates with the local enrichment of oligodendrocyte subtypes. The STARmap PLUS method bridges single-cell gene expression profiles with tissue histopathology at subcellular resolution, providing a tool to pinpoint the molecular and cellular changes underlying pathology.",10.1038/s41593-022-01251-x,2/2/23,"Hippocampus, cerebellum",,,,
ST018,https://singlecell.broadinstitute.org/single_cell/study/SCP1663,AD,Mouse,32,36050488,MERFISH and Slide-seq V2,,Cell type-specific inference of differential expression in spatial transcriptomics,Nature Methods,"Cable DM, Murray E, Shanmugam V, Zhang S, Zou LS, Diao M, Chen H, Macosko EZ, Irizarry RA, Chen F.","Cable DM, Murray E, Shanmugam V, Zhang S, Zou LS, Diao M, Chen H, Macosko EZ, Irizarry RA, Chen F. Cell type-specific inference of differential expression in spatial transcriptomics. Nat Methods. 2022 Sep;19(9):1076-1087. doi: 10.1038/s41592-022-01575-3. Epub 2022 Sep 1. PMID: 36050488; PMCID: PMC10463137.","A problem in spatial transcriptomics is detecting differentially expressed (DE) genes within cell types across tissue context. Challenges to learning DE include changing cell type composition across space and measurement pixels detecting transcripts from multiple cell types. Here, we introduce a statistical method, Cell type-Specific Inference of Differential Expression (C-SIDE), that identifies cell type-specific DE in spatial transcriptomics, accounting for localization of other cell types. We model gene expression as an additive mixture across cell types of log-linear cell type-specific expression functions. C-SIDE’s framework applies to many contexts: DE due to pathology, anatomical regions, cell-to-cell interactions, and cellular microenvironment. Furthermore, C-SIDE enables statistical inference across multiple /replicates. Simulations and validation experiments on Slide-seq, MERFISH, and Visium datasets demonstrate that C-SIDE accurately identifies DE with valid uncertainty quantification. Lastly, we apply C-SIDE to identify plaque-dependent immune activity in Alzheimer’s disease and cellular interactions between tumor and immune cells. We distribute C-SIDE within the R package https://github.com/dmcable/spacexr.",10.1038/s41592-022-01575-3,8/29/23,"cerebellum, hypothalamus",,,AD058,
ST019,https://www.10xgenomics.com/resources/datasets/multiomic-integration-neuroscience-application-note-visium-for-ffpe-plus-immunofluorescence-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard,AD,Mouse,1,,10x genomics,,Multiomic Integration Neuroscience Application Note: Visium for FFPE Plus Immunofluorescence Alzheimer's Disease Mouse Model Brain Coronal Sections from One Hemisphere Over a Time Course,,,Multiomic Integration Neuroscience Application Note: Visium for FFPE Plus Immunofluorescence Alzheimer’s Disease Mouse Model Brain Coronal Sections from One Hemisphere Over a Time Course [Internet]. 10x Genomics. [cited 2022 May 18]. Available from: https://www.10xgenomics.com/resources/datasets/multiomic-integration-neuroscience-application-note-visium-for-ffpe-plus-immunofluorescence-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard,,,3/11/22,MTG,,,,
ST020,"https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-ffpe-1-standard-1-3-0  https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-if-stained-ffpe-1-standard-1-3-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-section-coronal-1-standard 
https://www.10xgenomics.com/resources/datasets/mouse-brain-section-coronal-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-posterior-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-section-coronal-1-standard-1-0-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-1-sagittal-posterior-1-standard-1-0-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-0-0 
https://www.10xgenomics.com/resources/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-0-0 https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-section-1-coronal-stains-dapi-anti-neu-n-1-standard-1-1-0 
https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-section-2-coronal-stains-dapi-anti-gfap-anti-neu-n-1-standard-1-1-0 ",AD,Mouse,15,,10x genomics,,"Adult Mouse Brain (FFPE)        Adult Mouse Brain, IF Stained (FFPE)
Mouse Brain Section (Coronal)
Mouse Brain Section (Coronal)
Mouse Brain Serial Section 1 (Sagittal-Anterior)
Mouse Brain Serial Section 1 (Sagittal-Posterior)
Mouse Brain Serial Section 2 (Sagittal-Anterior)
Mouse Brain Serial Section 2 (Sagittal-Posterior)
Mouse Brain Section (Coronal)
Mouse Brain Serial Section 1 (Sagittal-Anterior)
Mouse Brain Serial Section 1 (Sagittal-Posterior)
Mouse Brain Serial Section 2 (Sagittal-Anterior)
Mouse Brain Serial Section 2 (Sagittal-Posterior)       Adult Mouse Brain Section 1 (Coronal). Stains: DAPI, Anti-NeuN
Adult Mouse Brain Section 2 (Coronal). Stains: DAPI, Anti-GFAP, Anti-NeuN",,,Adult Mouse Brain (FFPE) [Internet]. 10x Genomics. [cited 2022 May 18]. Available from: https://www.10xgenomics.com/resources/datasets/adult-mouse-brain-ffpe-1-standard-1-3-0,,,8/16/21,Whole Brain,,,,
ST021,https://www.10xgenomics.com/resources/datasets/adult-human-brain-1-cerebral-cortex-unknown-orientation-stains-anti-gfap-anti-nfh-1-standard-1-1-0 ; https://www.10xgenomics.com/resources/datasets/adult-human-brain-2-cerebral-cortex-unknown-orientation-stains-anti-snap-25-anti-nfh-1-standard-1-1-0 ,AD,Human,2,,10x genomics,,"Adult Human Brain 1 (Cerebral Cortex, Unknown orientation). Stains: Anti-GFAP, Anti-NFH; Adult Human Brain 2 (Cerebral Cortex, Unknown orientation). Stains: Anti-SNAP25, Anti-NFH",,,"Adult Human Brain 1 (Cerebral Cortex, Unknown orientation). Stains: Anti-GFAP, Anti-NFH [Internet]. 10x Genomics. [cited 2022 May 18]. Available from: https://www.10xgenomics.com/resources/datasets/adult-human-brain-1-cerebral-cortex-unknown-orientation-stains-anti-gfap-anti-nfh-1-standard-1-1-0",,,6/23/20,Whole Brain,,,,
ST022,"https://www.10xgenomics.com/resources/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard-1-2-0  ;   https://www.10xgenomics.com/resources/datasets/human-cerebellum-targeted-compare-neuroscience-panel-1-standard-1-2-0  ;  
https://www.10xgenomics.com/resources/datasets/human-cerebellum-whole-transcriptome-analysis-1-standard-1-2-0 ",AD,Human,3,,10x genomics,,"Human Cerebellum: Targeted, Neuroscience Panel ; Human Cerebellum: Targeted-Compare, Neuroscience Panel; 
Human Cerebellum: Whole Transcriptome Analysis",,,"Human Cerebellum: Targeted, Neuroscience Panel - 10x Genomics [Internet]. [cited 2022 May 18]. Available from: https://www.10xgenomics.com/resources/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard-1-2-0",,,10/27/20,Whole Brain,,,,
ST023,GSE220442,AD,Human,6,36544231,10x genomics,,Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer's disease,Acta Neuropathol Commun,"Chen S, Chang Y, Li L, Acosta D, Li Y, Guo Q, Wang C, Turkes E, Morrison C, Julian D, Hester ME, Scharre DW, Santiskulvong C, Song SX, Plummer JT, Serrano GE, Beach TG, Duff KE, Ma Q, Fu H","Chen S, Chang Y, Li L, Acosta D, Li Y, Guo Q, Wang C, Turkes E, Morrison C, Julian D, Hester ME, Scharre DW, Santiskulvong C, Song SX, Plummer JT, Serrano GE, Beach TG, Duff KE, Ma Q, Fu H. Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer's disease. Acta Neuropathol Commun. 2022 Dec 21;10(1):188. doi: 10.1186/s40478-022-01494-6. PMID: 36544231; PMCID: PMC9773466.","Human middle temporal gyrus (MTG) is a vulnerable brain region in early Alzheimer's disease (AD), but little is known about the molecular mechanisms underlying this regional vulnerability. Here we utilize the 10 × Visium platform to define the spatial transcriptomic profile in both AD and control (CT) MTG. We identify unique marker genes for cortical layers and the white matter, and layer-specific differentially expressed genes (DEGs) in human AD compared to CT. Deconvolution of the Visium spots showcases the significant difference in particular cell types among cortical layers and the white matter. Gene co-expression analyses reveal eight gene modules, four of which have significantly altered co-expression patterns in the presence of AD pathology. The co-expression patterns of hub genes and enriched pathways in the presence of AD pathology indicate an important role of cell-cell-communications among microglia, oligodendrocytes, astrocytes, and neurons, which may contribute to the cellular and regional vulnerability in early AD. Using single-molecule fluorescent in situ hybridization, we validated the cell-type-specific expression of three novel DEGs (e.g., KIF5A, PAQR6, and SLC1A3) and eleven previously reported DEGs associated with AD pathology (i.e., amyloid beta plaques and intraneuronal neurofibrillary tangles or neuropil threads) at the single cell level. Our results may contribute to the understanding of the complex architecture and neuronal and glial response to AD pathology of this vulnerable brain region.",10.1186/s40478-022-01494-6,12/21/22,Whole Brain,,,,fluorescence 
ST024,GSE233208,AD,Human / Mouse,116 (39 human 80 mouse (10 human control; 9 human early stage AD; 10 AD in DS; 10 Late Stage AD; 10 WT 4 mouths; 10 5xFAD 4mouth; 10 WT 6 mounths; 10 5xFAD 6 mounths; 10 WT 8 mounths;  10 5xFAD 8 mounths; 8 WT 12 mounths; 12 5xFAD 12 mounths)),39578645,10x genomics,Visium,Spatial and single-nucleus transcriptomic analysis of genetic and sporadic forms of Alzheimer’s disease,Nature Genetics,"Emily Miyoshi, Samuel Morabito, Caden M. Henningfield, Sudeshna Das, Negin Rahimzadeh, Sepideh Kiani Shabestari, Neethu Michael, Nora Emerson, Fairlie Reese, Zechuan Shi, Zhenkun Cao, Shushrruth Sai Srinivasan, Vanessa M. Scarfone, Miguel A. Arreola, Jackie Lu, Sierra Wright, Justine Silva, Kelsey Leavy, Ira T. Lott, Eric Doran, William H. Yong, Saba Shahin, Mari Perez-Rosendahl, Alzheimer’s Biomarkers Consortium–Down Syndrome (ABC–DS), Elizabeth Head, Kim N. Green & Vivek Swarup","Miyoshi, E., Morabito, S., Henningfield, C. M., Das, S., Rahimzadeh, N., Shabestari, S. K., ... & Swarup, V. (2024). Spatial and single-nucleus transcriptomic analysis of genetic and sporadic forms of Alzheimer’s Disease. Nature Genetics, 1-14.","The pathogenesis of Alzheimer’s disease (AD) depends on environmental and heritable factors, with its molecular etiology still unclear. Here we present a spatial transcriptomic (ST) and single-nucleus transcriptomic survey of late-onset sporadic AD and AD in Down syndrome (DSAD). Studying DSAD provides an opportunity to enhance our understanding of the AD transcriptome, potentially bridging the gap between genetic mouse models and sporadic AD. We identified transcriptomic changes that may underlie cortical layer-preferential pathology accumulation. Spatial co-expression network analyses revealed transient and regionally restricted disease processes, including a glial inflammatory program dysregulated in upper cortical layers and implicated in AD genetic risk and amyloid-associated processes. Cell–cell communication analysis further contextualized this gene program in dysregulated signaling networks. Finally, we generated ST data from an amyloid AD mouse model to identify cross-species amyloid-proximal transcriptomic changes with conformational context.",10.1038/s41588-024-01961-x,11/22/24,Prefrontal cortex (FCX); Posterior cingulate cortex (PCC),no treatment,yes,AD018,Not H&E
ST025,GSE269906,AD,Human / Mouse,12 (10 control; 10 AD),39779708,BGI,Stereo-seq,Stereo-seq of the prefrontal cortex in aging and Alzheimer’s disease,Nature Communictions,"Yun Gong, Mohammad Haeri, Xiao Zhang, Yisu Li, Anqi Liu, Di Wu, Qilei Zhang, S. Michal Jazwinski, Xiang Zhou, Xiaoying Wang, Kai Zhang, Lindong Jiang, Yi-Ping Chen, Xiaoxin Yan, Russell H. Swerdlow, Hui Shen & Hong-Wen Deng","Gong, Y., Haeri, M., Zhang, X., Li, Y., Liu, A., Wu, D., ... & Deng, H. W. (2025). Stereo-seq of the prefrontal cortex in aging and Alzheimer’s disease. Nature Communications, 16(1), 482.","Aging increases the risk for Alzheimer’s disease (AD), driving pathological changes like amyloid-β (Aβ) buildup, inflammation, and oxidative stress, especially in the prefrontal cortex (PFC). We present the first subcellular-resolution spatial transcriptome atlas of the human prefrontal cortex (PFC), generated with Stereo-seq from six male AD cases at varying neuropathological stages and six age-matched male controls. Our analyses revealed distinct transcriptional alterations across PFC layers, highlighted disruptions in laminar structure, and exposed AD-related shifts in layer-to-layer and cell-cell interactions. Notably, we identified genes highly upregulated in stressed neurons and nearby glial cells, where AD diminished stress-response interactions that promote Aβ clearance. Further, cell-type-specific co-expression analysis highlighted three neuronal modules linked to neuroprotection, protein dephosphorylation, and Aβ regulation, with all modules downregulated as AD progresses. We identified ZNF460 as a transcription factor regulating these modules, offering a potential therapeutic target. In summary, this spatial transcriptome atlas provides valuable insight into AD’s molecular mechanisms.",10.1038/s41467-024-54715-y,1/8/25,Brodmann Area 10 (BA10),no treatment,no,,NA
ST026,GSE263793,AD,Mouse ,"4 (5 Stereo-seq sections, 2 CosMx panels)",38819990,BGI; NanoString,Stereo-seq;CosMx,"Microglia-astrocyte crosstalk in the amyloid plaque niche of an Alzheimer’s disease mouse model, as revealed by spatial transcriptomics",Cell Reports,"Anna Mallach , Magdalena Zielonka , Veerle van Lieshout , Yanru An , Jia Hui Khoo , Marisa Vanheusden , Wei-Ting Chen , Daan Moechars , I Lorena Arancibia-Carcamo , Mark Fiers , Bart De Strooper ","Mallach, A., Zielonka, M., van Lieshout, V., An, Y., Khoo, J. H., Vanheusden, M., ... & De Strooper, B. (2024). Microglia-astrocyte crosstalk in the amyloid plaque niche of an Alzheimer’s disease mouse model, as revealed by spatial transcriptomics. Cell Reports, 43(6).","The amyloid plaque niche is a pivotal hallmark of Alzheimer's disease (AD). Here, we employ two high-resolution spatial transcriptomics (ST) platforms, CosMx and Spatial Enhanced Resolution Omics-sequencing (Stereo-seq), to characterize the transcriptomic alterations, cellular compositions, and signaling perturbations in the amyloid plaque niche in an AD mouse model. We discover heterogeneity in the cellular composition of plaque niches, marked by an increase in microglial accumulation. We profile the transcriptomic alterations of glial cells in the vicinity of plaques and conclude that the microglial response to plaques is consistent across different brain regions, while the astrocytic response is more heterogeneous. Meanwhile, as the microglial density of plaque niches increases, astrocytes acquire a more neurotoxic phenotype and play a key role in inducing GABAergic signaling and decreasing glutamatergic signaling in hippocampal neurons. We thus show that the accumulation of microglia around hippocampal plaques disrupts astrocytic signaling, in turn inducing an imbalance in neuronal synaptic signaling.",10.1016/j.celrep.2024.114216,6/25/24,Whole brain (coronal sections; hippocampus and cortex with plaques),no treatment,No,,Not H&E
